date,cumulative_return
2023-02-27,0.8234468824926118
2023-02-28,0.8260834090416775
2023-03-01,0.8334264196685583
2023-03-02,0.7548588589800358
2023-03-03,0.764865544391083
2023-03-06,0.7595323444639608
2023-03-07,0.7416010370444481
2023-03-08,0.6817304290115587
2023-03-09,0.6656726930136483
2023-03-10,0.6849285053280145
2023-03-13,0.6899434670386433
2023-03-14,0.6921055122475435
2023-03-15,0.6733264318589771
2023-03-16,0.6450442877677613
2023-03-17,0.6212455854911989
2023-03-20,0.6297672940636467
2023-03-21,0.6841070386563368
2023-03-22,0.6480503268345508
2023-03-23,0.6301351711750651
2023-03-24,0.6348202186848995
2023-03-27,0.6484065209537127
2023-03-28,0.6409105053257216
2023-03-29,0.6434027055157048
2023-03-30,0.6372066214453991
2023-03-31,0.6764761633135048
2023-04-03,0.61952441019188
2023-04-04,0.6252572343110294
2023-04-05,0.6123823811113644
2023-04-06,0.6057009700016995
2023-04-10,0.5872370782869392
2023-04-11,0.6088231504695247
2023-04-12,0.6018792719544244
2023-04-13,0.6266262966668585
2023-04-14,0.6136147275412211
2023-04-17,0.615148270940959
2023-04-18,0.5834860096328272
2023-04-19,0.5599448144432368
2023-04-20,0.50701504223742
2023-04-21,0.5162598253715913
2023-04-24,0.5067951347262643
2023-04-25,0.5204158361096318
2023-04-26,0.46694285218817977
2023-04-27,0.49033971221043826
2023-04-28,0.4951785751035309
2023-05-01,0.5369922957983311
2023-05-02,0.5476021545775773
2023-05-03,0.5602508091902498
2023-05-04,0.5698565827444897
2023-05-05,0.5811612139746334
2023-05-08,0.5762094374446776
2023-05-09,0.5797915276321386
2023-05-10,0.5682545698882657
2023-05-11,0.5930652260305089
2023-05-12,0.5806982094286126
2023-05-15,0.5559476407521768
2023-05-16,0.549750628450032
2023-05-17,0.5583150535884218
2023-05-18,0.582691241642185
2023-05-19,0.5578012517080506
2023-05-22,0.5178597036363535
2023-05-23,0.5184511962243727
2023-05-24,0.5096765814079289
2023-05-25,0.6863959110399556
2023-05-26,0.6680704578838705
2023-05-30,0.6585204071189201
2023-05-31,0.6000290007050939
2023-06-01,0.6268741920918817
2023-06-02,0.5925230350369719
2023-06-05,0.5758362974322002
2023-06-06,0.5520315363056809
2023-06-07,0.5170117671416312
2023-06-08,0.5031999205797817
2023-06-09,0.47774808661032053
2023-06-12,0.4749110406446455
2023-06-13,0.47744636531085627
2023-06-14,0.518502512788183
2023-06-15,0.5150551601438043
2023-06-16,0.5020127605030873
2023-06-20,0.4815457103994838
2023-06-21,0.5091110012191757
2023-06-22,0.49378304991047384
2023-06-23,0.5022340015910591
2023-06-26,0.5196866486989478
2023-06-27,0.5245397021987122
2023-06-28,0.4915809142723908
2023-06-29,0.48257712551073895
